Subject Release Acquisition Gender Age VSPLOT_TC
704238 Q3 Q03 M 26-30 22
880157 S900 Q08 M 31+ 22
911849 S1200 Q13 F 31+ 22
970764 S1200 Q09 F 22-25 22
987074 S1200 Q10 M 22-25 22
102109 S1200 Q13 M 26-30 23
106521 S500 Q06 F 26-30 23
118932 Q1 Q02 M 26-30 23
120010 S1200 Q13 F 26-30 23
124220 S500 Q05 M 31+ 23
145632 S1200 Q08 M 26-30 23
155938 S900 Q08 M 26-30 23
325129 S1200 Q13 M 31+ 23
349244 S1200 Q08 M 26-30 23
424939 S900 Q10 M 26-30 23
541640 S1200 Q06 M 26-30 23
680250 S900 Q08 F 22-25 23
749058 S900 Q11 M 22-25 23
753150 S900 Q10 M 22-25 23
773257 S900 Q10 M 26-30 23
886674 S1200 Q11 M 22-25 23
105216 Q3 Q03 M 26-30 24
113316 S1200 Q12 M 22-25 24
125222 S1200 Q12 M 26-30 24
148941 S500 Q07 M 26-30 24
172635 S1200 Q12 M 31+ 24
173637 S900 Q09 F 22-25 24
186040 S1200 Q09 M 26-30 24
212015 S900 Q11 M 22-25 24
214524 S900 Q09 M 22-25 24
479762 S500 Q04 M 22-25 24
561444 S900 Q11 M 22-25 24
720337 S900 Q07 M 22-25 24
818455 S1200 Q08 M 31+ 24
910241 S500 Q05 M 26-30 24
926862 S900 Q09 M 26-30 24
955465 S900 Q08 M 26-30 24
130922 Q3 Q03 F 31+ 25
108222 S900 Q07 M 31+ 26
127327 S900 Q08 M 22-25 26
